artid,journal,volume,issue,year,month,pages,cited3,cited2012,aut_num,ack_num,com_num,aut_cluster,ack_cluster,com_cluster,bip_cluster,aut_jaccard,ack_jaccard,com_jaccard,aut_density,ack_density,com_density,bip_density,aut_avgdegree,ack_avgdegree,com_avgdegree,bip_avgdegree,aut_flowhier,ack_flowhier,com_flowhier,aut_numcomp,ack_numcomp,com_numcomp,bip_numcomp
101,annurevisoci,31,1,2005,6,163-197,6,27,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

102,annurevisoci,31,1,2005,6,199-222,7,20,1,1,2,99,99,99,0.0,99,99,0.0588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,1,2,2

103,annurevisoci,31,1,2005,6,223-243,26,99,2,4,6,99,0.0,0.5,0.0,0.347826086957,0.0550061928448,0.0913015832513,2.5,0.0,0.233333333333,0.25,2.5,0.0,1.16666666667,0.333333333333,0.0,99,0.285714285714,1,4,4,4

104,annurevisoci,31,1,2005,6,245-261,5,30,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

105,annurevisoci,31,1,2005,6,263-284,8,39,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

106,annurevisoci,31,1,2005,6,285-304,3,26,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

107,annurevisoci,31,1,2005,6,305-329,9,23,1,3,4,99,0.0,0.0,0.0,99,0.0376206903106,0.0473954461358,0.0,0.333333333333,0.166666666667,0.0,0.0,0.666666666667,0.5,0.0,99,0.0,0.0,1,2,3,4

108,annurevisoci,31,1,2005,6,331-356,6,39,2,2,4,99,99,0.0,0.0,0.357142857143,0.0444444444444,0.114783107688,2.0,0.0,0.416666666667,0.25,2.0,0.0,1.25,0.25,0.0,99,0.2,1,2,2,3

